textID,text,selected_text,sentiment
"cb774db0d1"," I`d have responded, if I were going","I`d have responded, if I were going",neutral
"549e992a42"," Sooo SAD I will miss you here in San Diego!!!","Sooo SAD",negative
"088c60f138","my boss is bullying me...","bullying me",negative
"9642c003ef"," what interview! leave me alone","leave me alone",negative
"358bd9e861"," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative
"28b57f3990","http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth","http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth",neutral
"6e0c6d75b1","2am feedings for the baby are fun when he is all smiles and coos","fun",positive
"50e14c0bb8","Soooo high","Soooo high",neutral
"e050245fbd"," Both of you","Both of you",neutral
"fc2cbefa9d"," Journey!? Wow... u just became cooler.  hehe... (is that possible!?)","Wow... u just became cooler.",positive
"2339a9b08b"," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
"16fab9f95b","I really really like the song Love Story by Taylor Swift","like",positive
"74a76f6e0a","My Sharpie is running DANGERously low on ink","DANGERously",negative
"04dd1d2e34","i want to go to music tonight but i lost my voice.","lost",negative
"bbe3cbf620","test test from the LG enV2","test test from the LG enV2",neutral
"8a939bfb59","Uh oh, I am sunburned","Uh oh, I am sunburned",negative
"3440297f8b"," S`ok, trying to plot alternatives as we speak *sigh*","*sigh*",negative
"919fa93391","i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw","sick",negative
"af3fed7fc3","is back home now      gonna miss every one","onna",negative
"40e7becabf","Hes just not that into you","Hes just not that into you",neutral
"04d17ef61e"," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral
"e48b0b8a23","Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet","interesting.",positive
"7de057cf40","is cleaning the house for her family who is comming later today..","is cleaning the house for her family who is comming later today..",neutral
"9ce5570064","gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness","gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness",neutral
"0c8cc71c46","SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH","SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH",neutral
"e00c6ef376","the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive
"852edc3769","  I`m sorry.","I`m sorry.",negative
"bdc32ea43c","On the way to Malaysia...no internet access to Twit",".no internet",negative
"6ce4a4954b","juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?","fun",positive
"d22e6d40a7","Went to sleep and there is a power cut in Noida  Power back up not working too","Power back up not working too",negative
"d33f811375","I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?","Quite....heavenly",positive
"7d8c4c11e4","i hope unni will make the audition . fighting dahye unni !","hope",positive
"1c31703aef"," If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.","well so much for being unhappy for about 10 minute",negative
"2dc51711bc"," That`s very funny.  Cute kids.","funny.",positive
"d21ab5855b"," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
"4f5267ad70","Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",neutral
"2724775d6b","Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY","miss",negative
"1cbc812ece","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
"4b61dffbeb","i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....","soooooo sleeeeepy!!!",negative
"2863f435bd","A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day","A little happy fo",positive
"d93afa85cf"," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
"fab6b7d16c","im an avid fan of **** magazine and i love your magazines","avid fan of",positive
"2e7082d1c8","MAYDAY?!","MAYDAY?!",neutral
"684081e4e7","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral
"c77717b103"," I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½","I love to!",positive
"a9d499e123","The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?","The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?",neutral
"ddf296dffa","egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!","SUCKKKKKK",negative
"c3924dc9e4",":visiting my friendster and facebook",":visiting my friendster and facebook",neutral
"3d9d4b0b55","i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more","dont like go",negative
"3fcea4debc"," which case? I got a new one last week and I`m not thrilled at all with mine.","d I`m not thrilled at all with mine.",negative
"a3ae670885"," Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter","Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter",neutral
"15d5f3a41b"," also bored at school, its my third freelesson( freistunde )","also bored at school, its my third freelesson( freistunde )",neutral
"3c4a21b2cb"," hm... Both of us I guess...","hm... Both of us I guess...",neutral
"11084dac09"," it is ****...u have dissappointed me that past few days","it is ****...u have dissappointed me that past few days",negative
"d8ba2a99a9"," romance zero is funny","romance zero is funny",positive
"e77fd45003"," I`d rather do the early run..but I am a morning runner","I`d rather do the early run..but I am a morning runner",neutral
"b159318d76","Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now","hurts",negative
"6086b1f016","will be back later.  http://plurk.com/p/rp3k7","will be back later.",neutral
"703afdc44b","Aw. Torn ace of hearts  #Hunchback","Torn ace of hearts",negative
"90f3d2b572"," what fun are you speaking of?","what fun are you speaking of?",neutral
"52483f7da8","i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative
"a4b0888da6"," haha yes","haha yes",neutral
"2a9765b7f9","I give in to easily","I give in to easily",negative
"90a2cdb657","What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red","favorite",positive
"98f25bc596","mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR","jealous..",negative
"23e1f7dca4","Is at a photoshoot.","Is at a photoshoot.",neutral
"95e12b1cb1","  He`s awesome... Have you worked with him before? He`s a good friend.","s awesome",positive
"c34feef039","Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing","Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing",neutral
"fa2654e730","Chilliin","Chilliin",positive
"187494c25b"," If you know such agent, do let me know","If you know such agent, do let me know",neutral
"4213627c3c","I still smell of smoke  #kitchenfire","I still smell of smoke  #kitchenfire",neutral
"a4e00d4d26"," a celtics-lakers rematch sounds better don`t you think? lol","better",positive
"04e2e334de","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral
"0c4aa867d0","'you can ride one, you can catch one, but its not summer til you pop open one'  ?","'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral
"a6c61eac26"," she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no","she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no",neutral
"94bd67443c","OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight","OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight",neutral
"35f393a245","WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.","BADDD.",negative
"b2c9f115b1"," My sources say no","My sources say no",neutral
"0a61cbf4b5","I am sooo tired","I am sooo tired",negative
"ee9ec7a5a4"," Hey, you change your twitter account, and you didn`t even tell me...","Hey, you change your twitter account, and you didn`t even tell me...",neutral
"bbbc46889b"," THANK YYYYYYYYYOOOOOOOOOOUUUUU!","THANK YYYYYYYYYOOOOOOOOOOUUUUU!",positive
"58d382e07a"," lucky kid...i so wanna see loserville  pity im in oz....","lucky",positive
"cb4d439ebc","fell asleep waiting for my ride!","fell asleep waiting for my ride!",neutral
"64ed512788","Sick. With a flu like thing.","Sick.",negative
"4cd390c007","Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative
"3d2fcd78c8","Happy Star Wars day everyone! and Enjoy the holiday (UK)","Happy Star Wars day everyone! and Enjoy the holiday (UK)",positive
"0c0563423e"," Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.","Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers",neutral
"cd0d522bb1","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral
"bffa3ddd61","i miss you bby      wish you were going tomorrow to make me do good.","i miss you bby",negative
"9339ee8e0b"," Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded","cool",positive
"a76f9cf8ce"," SWEEEEET - San Fran is awesome!!!!  Love it there","Love it there",positive
"4ce121e2ad","_Mounce yes and it lasts way past my bedtime!","_Mounce yes and it lasts way past my bedtime!",neutral
"a3de81e1ba"," Hi  how are you doing ???  *just joined twitter...*","Hi  how are you doing ???  *just joined twitter...",neutral
"55bacda5eb","waiting for sleeping pills to kick in... gonna be so tired at work tomorrow","tired",negative
"b63ed6da62","eating ice cream and then getting ready for graduation.","eating ice cream and then getting ready for graduation.",neutral
"4c41a35a2a","Happy Mothers day to all you Mums out there","Happy Mothers day to all you Mums out there",positive
"61a8e11e8a"," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?","freaked",negative
"447dc22c81"," hemp cloth is marvelous but unfortunately no","unfortunately",negative
"3408db03a3","Gonna read a story bout adam lambert online then bed. Nighty night","Gonna read a story bout adam lambert online then bed. Nighty night",neutral
"92e1b6846e"," We saw that in none 3D - the baddie`s the best","best",positive
"2207d982bc","4am. And Im on the beach. Pretty","Pretty",positive
"15e01e1749"," Certainly not Cheers than, huh?","Certainly not Cheers than, huh?",neutral
"ebcdf07ac5","1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative
"fd9fb4f1ad","i realy wanted to go out cause its so nice but everybodys busy","busy",negative
"6b018d3d2d"," Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.","Awesome.",positive
"327a009a7d","at least I get to watch over time  Let`s go Pens!!","at least I get to watch over time  Let`s go Pens!!",neutral
"d0d3c6f298"," cool i wear black most of the time when i go out","cool i wear black most of the time when i go out",neutral
"40649553ef"," haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****","thanks",positive
"561b44a42f"," have a safe trip joshy poo.......you`ll knock them dead at your speech","safe",positive
"a05aea73d7"," woof, I wish I was allowed to go","I wish I was allowed to go",positive
"9c4817f73b","if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment","if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me",neutral
"f0c1601d8b","  has tickets.......?","has tickets.......?",neutral
"d421fbd332","Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!","Thank you,",positive
"99b7ec4b0b"," ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?","ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?",neutral
"a655fbb5eb","Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us","I love my",positive
"43e9a93104","So many tests todayyy  I don`t feel confident about anyy.","I don`t feel confident",negative
"401869d615","graduation is done  im a little sad.. anyone want to hang out???","sad.",negative
"9843c4688e"," hahaa your awesomee !","hahaa your awesomee !",positive
"87fbf14655","holy smokes! star trek was freaking awesomeeeee","awesomeeeee",positive
"22d1806fa0","I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.","I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral
"9d2cffd953"," I had it! On my itunes, but then I lost all my songs.","I had it! On my itunes, but then I lost all my songs.",neutral
"f78761f7ec","What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha","What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha",neutral
"66057d58c2","Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours","Not looking forward",negative
"af90ad5989"," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!","Poor you",negative
"f0460d611d","not well","not well",negative
"6649f3558c"," Not a prob hun","Not a prob",positive
"24532ab83c","at dads, watching some mtv and am going on sims2 in a minutee","at dads, watching some mtv and am going on sims2 in a minutee",neutral
"8e1583cb08"," Absolutely","Absolutely",neutral
"4ea61dbc7a"," what`s the matter chickadee?","what`s the matter chickadee?",neutral
"94f67cfa6d"," hey mia!  totally adore your music.  when will your cd be out?","y adore",positive
"29dfaf5e3b","Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless","good",positive
"974b35f889"," =O you need to ask him something? Lmao I love him too","I love him too",positive
"b495300bbf"," those splinters look very painful...but you were being very heroic saving mr. Pickle","painful.",negative
"504539e6ec"," why are you sad?","sad?",negative
"6903cb08f2"," Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom","e nice",positive
"1996048e7a","decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....","i wish",positive
"c6d0c7676c"," Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !","Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !",neutral
"ef74bab7f3"," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.","Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral
"f3cf8ec01b","Humous and Dorito`s.... Oh yes","Humous and Dorito`s.... Oh yes",neutral
"cb1b0d191d","missed all the awesome weather, because she was in a movie!","missed all the awesome weather,",negative
"3e67a75303","Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink","Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink",neutral
"997a62f83f","These kids are terrible! If I was in Good Evans, I`d call Childline","terrible!",negative
"7e1757d4f0","Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley,",negative
"254546cd2c"," What`s sad is that I actually had to google that term. That sucks, tho.","That sucks, tho.",negative
"7e4ed52c4a","Hate fighting","Hate fighting",negative
"5069ae7a15"," I watched that too!!! I didnt want her to win, but she put up a good fight..lol","I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral
"48cdcd5f28","Car-warmed Sprite tastes like sore throat","Car-warmed Sprite tastes like sore throat",negative
"1b1b02af59","Just came 11th in cross country and beat dumbo","Just came 11th in cross country and beat dumbo",neutral
"ae71041e21","Candle wax is very enjoyable.","enjoyable.",positive
"11c10e3fc5"," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her","endearing-",positive
"19526ac03e","tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it","tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it",neutral
"960bbdc0c3","goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?","goooooddd morning tweets!!",positive
"fd285fe74a"," me too. I hate my computer so much..","hate",negative
"a5a1c996c0"," fine! Going to do my big walk today 20 or so miles","fine!",positive
"20ec7c7c32","I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!","i don`t like the other ones.",negative
"b948984e8d","Mmmmmmmm... ? it in the morning","Mmmmmmmm... ? it in the morning",neutral
"6824c44c21"," me neither","me neither",neutral
"02d140362f","Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah","Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral
"5f93cc70ff","Bugger. forgot I still have washing in my machine","Bugger. forgot I still have washing in my machine",negative
"4e6a5c0034","_Laurie sending love, blessings & healing thoughts to you & family  peace","sending love, blessings & healing thoughts to you & family  peace",positive
"e4e9b8713a","My back hurts...really bad",".really bad",negative
"08975f62a8"," ah yes, I know that feeling","ah yes, I know that feeling",neutral
"4a1ce7dc3b","Night of the cookers with my dad","Night of the cookers with my dad",neutral
"328a0e76bd","My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal","brutal",negative
"abbd0db2a5"," Nope I am in Coquitlam","Nope I am in Coquitlam",neutral
"940eb93dd5"," Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol","boring",negative
"c78bf59e67","  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!","p sounds like fun",positive
"e73425ffdc","Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.","Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.",neutral
"e56eeb4968","Few Bevvies 2day in twn..great on a day off!!","great",positive
"7162d447ab","first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!","excited",positive
"f3d95b57b1"," good morning","good morning",positive
"5e4eac2b2e"," its the best show EVER!","its the best show EVER!",positive
"bc02870b7d","URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES","messed",negative
"80e45e833f","i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .","i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .",neutral
"f29df52d91"," I want to know when the auditions are Mander! Text or...reply please!","I want to know when the auditions are Mander! Text or...reply please!",neutral
"079e4e3472","or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE","NOT THE SECRET NAMEREBECCA PLEASE",negative
"557e676fe4"," I miss my neice  can`t wait to see her bad n grown ****! Lol","miss",negative
"8d09044937","i need to get my computer fixed","i need to get my computer fixed",neutral
"9d3a1e0269","really hopes her car`s illness is not terminal...","illness",negative
"7ff2dbbe25","All the cool people I want to find for following today are #English, and I guess the English don`t tweet.","All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral
"5a254fbb98"," no sir...i woulda put honey...but i don`t have any","no sir...i woulda put honey...but i don`t have any",neutral
"417176c08e","who watched X-men origins: wolverine? i totally loved it! haha","i totally loved it!",positive
"2bf5c7dba7"," I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x","i <3 you. u helped me thru the hrdest time of my life!",positive
"8407ac30b0"," I`m sad that I missed you guys last night!","sad",negative
"6ed347b1a5","Finally got a call for marriage counseling 3 days late....","Finally got a call for marriage counseling 3 days late....",neutral
"97625460cf"," ok then","ok then",neutral
"32e4ffe225","_420 why baby?","why baby?",neutral
"24ee55f264","today was the last day of high school for me and i ended up going home sick! ... stupid dead rats","sick!",negative
"82b75647fd","We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in","We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in",neutral
"a0a306868a","lost my tooth 2day whilst i was eating gum...oww","oww",negative
"9b11b686ec","happy 1 year! <3","happy 1 year! <3",positive
"7e7bc11e45","Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol","Goooooooooooood Morrrrrrrrning",positive
"28dbada620"," *phew*  Will make a note in case anyone else runs into the same issueï¿½","*phew*  Will make a note in case anyone else runs into the same issueï¿½",neutral
"3e880ec28d","  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!","WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!",negative
"38271074d1","I`m starving!! This diet is killing me but I can`t eat after 8pm","This diet is killing me",negative
"ef12a3d183"," i talk to you","i talk to you",neutral
"f0db54f5bf","im soo bored...im deffo missing my music channels","bored..",negative
"e651d415c6"," nite nite bday girl  have fun at concert","e fun",positive
"931a866d3f","Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now","So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
"7a718b23ef","_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!","What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!",neutral
"a6fccce9db","should be sleeping.  lost my voice a couple day ago.","lost my voice",negative
"c017d0c221","http://twitpic.com/66xlm -  hate when my PARKED car gets hit","hate",negative
"287755c5dd"," I`ve heard this fall. I`m waiting too!","I`ve heard this fall. I`m waiting too!",neutral
"58c435d2cf"," more nightmares?  *huggles*","more nightmares?  *huggles*",neutral
"e6ee6826df","I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.","I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy",negative
"01b2476dd7","going to bed its late and I have headache","headache",negative
"e02cf4af4c","happy mother`s day to all moms out there...","happy",positive
"2dc0dc0d5d","Grabbing coffee from  then making mom breakfast","Grabbing coffee from  then making mom breakfast",neutral
"1b13ed8b4b","im thinking that im going to have fun tonight....and maybe some changes are coming","going to have fun",positive
"b6b35af246"," thanks. before the major chop.","thanks. before the major chop.",neutral
"375e74d063"," Haha I know, I cant handle the fame!  and thank you!","d thank you!",positive
"4700be3234","just got up and updated my ipod","just got up and updated my ipod",neutral
"e5c6a6bb5a"," yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!","HAHAHA",positive
"4f84bea1cc"," We never miss ICarly - my son has a huge crush on Miranda","crush",positive
"4c73ad2888","Saw James carville in the store today. His head is really that bald","Saw James carville in the store today. His head is really that bald",neutral
"2dcd8766a8","yellow for   ? http://blip.fm/~5z05g","yellow for   ? http://blip.fm/~5z05g",neutral
"234093bef1"," which means you`re just going to have to come back to vancouver and have it our way! hahah","which means you`re just going to have to come back to vancouver and have it our way! hahah",neutral
"ca832cad51","Feeling smooth like chrome","Feeling smooth",positive
"a8734230b6","Ew traffic","Ew traffic",negative
"0b5c2a7d7c","downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol","downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
"e70d294d95","@_Ra_Ra_ your not alone...i need coffee too.","your not alone...i need coffee too.",neutral
"f84b89a828"," Sounds like me","Sounds like me",neutral
"ee37bea884","Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...","Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...",neutral
"242d92151a","Walking to class. I hate not having a bike....especially mine.","I hate not having a bike..",negative
"f3a77c2b5e","_nesmith","_nesmith",neutral
"1d6411e9dd","failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.","This is worse than taxes.",negative
"151c10cc39","JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,","JONAS BROTHERS - Live to party.                It`s rocking so hard",positive
"7b1927e748","happy mother`s day to all the mothers in the world.","happy",positive
"9a6f4d05d5","35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc","would love to test it though.",positive
"0cb4504f2c","Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!","Fun night!",positive
"ae21c1ac38","The exception for a short dude: Larenz fineass Tate yum","The exception for a short dude: Larenz fineass Tate yum",neutral
"8f3e73cf09","Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.","I thought Wolverine was awesome.",positive
"c7489a23fa","If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.","Hopefully",positive
"148ac38bea"," Yes i work 6 to 3...","Yes i work 6 to 3...",neutral
"641555ac70"," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is","Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
"4bda359cbb","Done at the spa   now meeting vic for some late lunch!","Done at the spa   now meeting vic for some late lunch!",neutral
